"address","max_interval","avg_interval","std_interval"
"1PmipdhsWprBreaSjGyyjbvnikCmhuaEGz",0,0E-20,0
"3FQ83CAxF9oZd95ycwbdvSj1wYZUoEiToD",0,0E-20,0
"3NDndBsKbqW9SZ8e54V7ohKq5dHJftoAVN",0,0E-20,0
"1GN9amAD89M9WGxND1GdSeinGnG5Bomb5X",83,41.5000000000000000,41.5000000000000000
"1Fsdk1JbiuuTEwu52tJYR9QnwhY2hBbaSn",0,0E-20,0
"1QEKiJvn37wP6fZDX1kKudRXw5cwr5y3G6",0,0E-20,0
"1F7D4hfhuTre89CGCdv73a39JPZQVqGtQ6",4959,2479.5000000000000000,2479.500000000000
"12MG7v1MsUCtNrAs2QhsgpzMDyVsszcoLg",0,0E-20,0
"1E2uhks8zdgeE2Nev8s9pFrfrdraQnB55i",1153,576.5000000000000000,576.500000000000
"1EBrRcp8aDnbkEJd4dGp6rjW4Kt5Trbi5q",0,0E-20,0
"1Kv1at4niJMZbEACnAnMfoxsANqMDhss59",2323,921.3333333333333333,1007.347121017488
"3EnZgKcJzgsFxL8MxA8xzTHmRVmqJ7EmfC",0,0E-20,0
"19XU7Q9CSsvGNv5Pqi9xuJG79miwP3P1ur",0,0E-20,0
"1A3z1Mvxj9mFkLmXjpg3nduNR8HsUZQiog",1161,487.0000000000000000,492.075197505422
"19C6969FiXmrBMYCaJhfmWphgYyXDZMAhK",2093,669.5000000000000000,693.496214841869
"1NijaontQFRKJvKC3zdvantRz98o2wv1z4",0,0E-20,0
"1MdnUGfVX4hz4NFpH1C6YtjCq8G1n97uVm",2176,1421.6666666666666667,1005.897388184081
"1AAnbpDbkcvEPtHsiip34BxFTeR1sBceMx",1571,907.6666666666666667,664.221014087597
"1CRV5hmphGApHeNBSjZPo1yxqYq4LoSfVC",0,0E-20,0
"1PA2yaWbqfKdDT5S8KBV4yBCXg8zAYr2NS",0,0E-20,0
"18ox6BRx1E42QeCGEHLvnNdiyaqAzrdfvF",0,0E-20,0
"1GijZTSjMLPknAgGSz6hHRyRT4E685xhej",0,0E-20,0
"37prwuUQmob9iS9cvXj1HrzVm5d2zLXxGx",0,0E-20,0
"1F9EkhKjQUi8A3GqTzx3F4FfFZfuuyS9si",1879,320.2500000000000000,509.547695673984
"18JXncmWuLwxorEimx9fzUkpZVqTwb7v9E",0,0E-20,0
"1CjLGPDPPV1A7aBSzwMiyHndi5hhmfsctr",0,0E-20,0
"122WNR5g6X3iF6yxard4THCKzP6eao2zmG",0,0E-20,0
"1A6AqBqGU9vncPXDvHtged6zbeum5Xx59G",0,0E-20,0
"16a5342WUDctPv2PmZgPbZn9FbcmmuBUMU",0,0E-20,0
"1KwaJG4GPpWKqQBZVQWjuQZ69zpoekwssh",0,0E-20,0
"1Fy8dsvP78N5reTmRhmU4X2sa4do3wEL9A",0,0E-20,0
"18VCcCyu2LGrV9pPHPpxfHzawRpNNah3B6",0,0E-20,0
"1NsHHgtrS7w8WznkG31yPhzZjr8QdegXxK",0,0E-20,0
"1F1E2CFdyTojMUA5fcLBYuzBfkAiw1zZeo",0,0E-20,0
"1AHvvqKeST1Gu12atqRMc3zJS3k4eVB7di",4,1.6666666666666667,1.6996731711975949
"18YxngE57eHqjdCWd4USavS8tnCeMgLAAi",0,0E-20,0
"1MvZ8XN3K3BBU6cfchZ3vCfZ7eQpoKZDG2",0,0E-20,0
"1N5mNKjPaswagYZXiPu46Ra4g9RpzhRRir",0,0E-20,0
"1N1CUoKy1muwcsPak21ozB9FSqDKUcbbmP",0,0E-20,0
"1NSfBzhVDoHKudkByy4y2Xm5L14HLEZpaM",1599,799.5000000000000000,799.500000000000
"1MJ5vNm7gVx5yR8VTStoo4pdhLDbUFzqrT",0,0E-20,0
"1J36fN8amt6XEaPDBAWCtSeNVzuZbSuhHz",3,1.5000000000000000,1.5000000000000000
"13iwiiYkfsETTu1WT6pDRPGjEbbjqVPB7W",583,351.2083333333333333,126.193957583379
"1fFJKgyU1g8sfk6M25D4nCXrMhkjicsv4",0,0E-20,0
"151oGXUbsQU5otjSthPbHqaXzcDHsXnKgw",3,1.00000000000000000000,1.4142135623730950
"392zpcC7vGP4YSMLJzzx9iP6JFL9N6nVGR",0,0E-20,0
"1Ms2U3bSv5YP7GS1B7LCrZ2fp3J5Sofru4",0,0E-20,0
"1GevQzrAiGSBQ192yCuXMuXTjwUvy9BNzw",0,0E-20,0
"3H7uDWtYbfeUSfPACrrWxMLwufZ4n4YeAW",0,0E-20,0
"1AJgZwkrk94iKLnyXHBmkNtPvE7aeM4HQx",1956,817.4444444444444444,666.631350916450
"1MsTbmCrRa1fCq7nqdTqNShLPNczqqzP2e",2537,1145.6666666666666667,998.897670212297
"19YxbXfzLykNjKZu7e9eJsKm4acuKxV2xP",0,0E-20,0
"18wYSfDKDd5PmqqfyZ2g9wMet3swqry8MX",0,0E-20,0
"1U6LQV1cwJNuUgyHWj4P1JFi3mLuohqnh",0,0E-20,0
"1GJEH9GavoWmqKaYNKunMDRFDcutei4eoR",0,0E-20,0
"1F8hCPoqP1WMveSHgHxnmGp3S2D7vcb3Wc",0,0E-20,0
"3QYYfMdr4g94BPk9imaGTiofoM5YYwJGbW",0,0E-20,0
"1NheiN1DFxdKTgwpuoREpWuKeP3quufPm2",0,0E-20,0
"3HSWC9kLCaLVVtbGawftmBfZvB3BdgQMyV",3428,1145.0000000000000000,1338.902162220974
"1GMVvoB71XwoLKrcCDBXn5krXLudcr75Ns",0,0E-20,0
"1ALq4DoqfXUAYJzh7diCTMH1aQ93Bjbzay",1382,547.8571428571428571,499.216365508821
"3AXfneEpn713ZaMqeEzDywBt51kjUYajC8",1040,269.6896551724137931,390.398479315180
"17YmxPyftHNzpNNv8iy61aZSokujN6LhqF",0,0E-20,0
"3PwQobzeGXQGPG7UMnuPHSvq7nMjU5zpM6",0,0E-20,0
"1HTFvL7bApmeNksgTDt1WhnnFxtAfYQVNB",0,0E-20,0
"1GEw4GFY6EnrdPPmZDmDRaZp9K7TT5viUr",2364,824.6666666666666667,1089.399018827455
"3JQLzEFrKSeSUmy5gngdN7f7DWU8N8GCdk",0,0E-20,0
"1NfNhT6h6av6JekBVC2giXsxDoLPKkKfiA",0,0E-20,0
"336Z3tqxgwWffg1MeMsPrE6qSvri1K4BMV",698,255.3333333333333333,314.241237834177
"1Fx1Cqjhdvz4kP7qfVgbpYJ4txx2HJen77",0,0E-20,0
"3MB4w46sGoz5RL9r13Y3GyMhHKWUPkTMfg",0,0E-20,0
"3F7pzEsnJy8MF6mjUe1svh3Q3n2YT4GRyZ",0,0E-20,0
"1N7Eig2867vL9PSq9SNFQ6zNnU3zsKqHD9",0,0E-20,0
"1AAuER9gL2nFgzXw1aRFmsX76Zw5KjeMvy",4464,1488.3333333333333333,2104.114118155720
"3FcQ6SaniNj21QRRVXT8i7411fVShdajWt",0,0E-20,0
"1MQ2JuyHXMYqAY93cusiL6jm8mVyiWzALj",4844,2422.0000000000000000,2422.000000000000
"1F3XCW5TnpBX9Zd5kxE8zka8vX11BbD9pH",0,0E-20,0
"1CGY5euBbRLfpWCKKzBazJpL8yoHR1H58r",0,0E-20,0
"1AM3AEpQogLX2MRKb5HQNgd2BcMiFyWWXA",0,0E-20,0
"1GvwTL6AsbU9CZ3kg6JipUKt3U3q5oZs63",0,0E-20,0
"1FgpCCuw4HEMzSq9Uc6H5LmRNDbouZiTcp",1185,816.0000000000000000,478.861671049166
"1AK5mBK4ijqzhUmwu4ze8okmqBw7N8KKmo",5555,2777.5000000000000000,2777.500000000000
"1EzkVNtMGbs8mEuFvKznwgGhMbHr1D1bFx",0,0E-20,0
"324YPnWy8m4o4FbFx7q4WjgRQnmqUmPAub",2855,1427.5000000000000000,1427.500000000000
"3Pe4AhqtFCxyY6GfSUEWViGG3G8H1KxXXz",0,0E-20,0
"15yTdTAiw6y3xNCFoLAimhy3MkNAELM8Pe",0,0E-20,0
"327iTuFcDGHbiC2NxTHg1mTWiVXzCu6PLd",0,0E-20,0
"3FvBGfo7o66SJe6sGWExKhRtQopMfdQqr6",0,0E-20,0
"1Ae3q2i3CXTM7p3dbzbgbvEEJQPYd3QJZy",0,0E-20,0
"18TvDqqBb9TmpydC7Gd5QqqQKQwc2b6QiX",0,0E-20,0
"1PHaHvjxknQp7S76drimpYAGaRqam9vssE",6823,1706.0000000000000000,2954.301355650774
"1NGLHoPAXKuFFjzZJgq6tQmaeXBp8nz5k5",926,367.8000000000000000,450.074838221378
"1NsF98ibhEpTMYWsWY3SRp2cypky3r8fZg",4935,2073.0000000000000000,2090.525771187717
"1MZGb7kL7XvNWDEusSathQ9Mn8SSTTEGE3",0,0E-20,0
"1Md8eAcHzW7kMLb6b1fXacz6hvyH6or4CS",0,0E-20,0
"19xbiTGx6KE5QzESCCZPp1GLJ5NV3nyjeJ",0,0E-20,0
"3GVBS2dnDF2MMT8MVCqHJRxG9GsuqYKJAi",3555,1777.5000000000000000,1777.500000000000
"1FSNBdVxK4KurmUsoGoN666YiZZjWXTzA",0,0E-20,0
"1NMjTJ6VSaa9fJzKKYprSzdUDWGwbVUJc5",412,291.0000000000000000,60.4808509640310313
"bc1ql2cxkvjmknqys6ff4zx896hxle2vfvutdnc3kp",0,0E-20,0
"38cFT1KKURA13icVSaK3SZet6Etjy3nrFR",0,0E-20,0
"1MhmqMZcnjgEqQ4LiPdUUgjFDMFHK1FU6m",0,0E-20,0
"1GVYJjoJo7rboaF6Z2sATZ9ui9TYM188rY",1714,390.5454545454545455,464.411624558207
"1JiZhtYsjyDjTRQdBtK6fxMG7L4CJMpDg2",0,0E-20,0
"3QcvyMhR4gp6igN4epTTviwMQuZbVxZR7h",302,128.9000000000000000,107.949478924171
"329UdxaqXZRLrc2hYPSqLnU1xJEuXhRMWp",0,0E-20,0
"32GKwfdPdWAiaF7TLW8C2ySXxceyXYADEJ",841,453.8000000000000000,288.537969771744
"1GpH5ywRwtNWLSYqAkKVHCWeuvyNrsLTo6",0,0E-20,0
"1FaqxfmuCvckooBF5BtPk71wfmRwhSNCdL",0,0E-20,0
