"address","address_in_count","sum_granted","max_granted","min_granted","avg_granted","max_input_index","min_input_index","avg_input_index","max_output_index","min_output_index","avg_output_index"
"1F5QSPUpwASkLJZH2Pg1GqATDWzxPrxhrz","1","9819705","9819705","9819705","9819705.000000000000","64","64","64.0000000000000000","0","0","0.00000000000000000000"
"1F5QtdbYmfYdQCSH6abKe3jtrPeJLuWz3o","3","1800","600","600","600.0000000000000000","0","0","0.00000000000000000000","3","3","3.0000000000000000"
"1F5rEvnHjVJtYz4QrSeUWoomaWuyMZfhfk","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F5RpwRrtg7VuQuGeoKzwLZq4iVtk2vPPU","1","13711458","13711458","13711458","13711458.000000000000","98","98","98.0000000000000000","0","0","0.00000000000000000000"
"1F5rr5N5akCqNcMwSMHi3VpkBrRiAuXr17","1","151145","151145","151145","151145.000000000000","252","252","252.0000000000000000","1","1","1.00000000000000000000"
"1F5SgbhfuJQfNW4tVRwNx694hUtJ9Vn1pr","1","16412400","16412400","16412400","16412400.000000000000","99","99","99.0000000000000000","0","0","0.00000000000000000000"
"1F5sTi9w2oaMzkRiwVWym2Nq3CbCjzXT6H","2","39950000","29950000","10000000","19975000.000000000000","125","11","68.0000000000000000","16","7","11.5000000000000000"
"1F5t6V9tR3e44NXmNpSRzQLtAp1u5fmbXZ","1","30000000","30000000","30000000","30000000.000000000000","201","201","201.0000000000000000","1","1","1.00000000000000000000"
"1F5TfmsotJQPHRSLP1hHWJSADXgpPR2Ndb","1","1062214356","1062214356","1062214356","1062214356.00000000","4","4","4.0000000000000000","29","29","29.0000000000000000"
"1F5UechfFPYwqhNxEAbUL3humEzX25h4YM","1","340000","340000","340000","340000.000000000000","40","40","40.0000000000000000","11","11","11.0000000000000000"
"1F5uoTEaEDRJMgxjfVyz6PaVJ44PvBbHGP","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F5UZbKziJjGmM3Wk39medUiKFHe6QmHFd","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","0","0","0.00000000000000000000"
"1F5vHKmqHfVHdYmNUmwxkadfpGQjW1mNSA","1","26000000","26000000","26000000","26000000.000000000000","164","164","164.0000000000000000","2","2","2.0000000000000000"
"1F5vPnFwnPLp1oNRQqdv2FtSdeQrnbjQa5","6","4387133","842920","498289","731188.833333333333","80","54","69.8333333333333333","2","0","0.83333333333333333333"
"1F5vwWJ1xpoQz9Tzkq29GWWbbhQEUUe1WD","1","546","546","546","546.0000000000000000","0","0","0.00000000000000000000","2","2","2.0000000000000000"
"1F5WJGDPhPvgZVvDC3yjyZdajZoGc5K2Rj","1","1960000","1960000","1960000","1960000.000000000000","79","79","79.0000000000000000","21","21","21.0000000000000000"
"1F5XD54Jah2QKVx3u7vf2aPRicYRt1RaM4","2","13967320","7500000","6467320","6983660.000000000000","65","65","65.0000000000000000","0","0","0.00000000000000000000"
"1F5XiTAaDKNnd6iBTESeQTF5hcCyYJu92a","2","1092","546","546","546.0000000000000000","0","0","0.00000000000000000000","1","1","1.00000000000000000000"
"1f5xJcrju5J9orMw4yUtZxoThs48i147q","1","5561570","5561570","5561570","5561570.000000000000","6","6","6.0000000000000000","0","0","0.00000000000000000000"
"1F5xPJChinQdCUTUZPsYJGK1YEJMQEoFsy","1","292120","292120","292120","292120.000000000000","220","220","220.0000000000000000","1","1","1.00000000000000000000"
"1F5y9mbKWMqqWJkJXLnT52vpHnYFj8uawd","1","1054451","1054451","1054451","1054451.000000000000","1","1","1.00000000000000000000","3","3","3.0000000000000000"
"1F5ysFdkAXxvmdAFvgVy2CbALgTuSfEQnJ","6","15989433","2764417","2398574","2664905.500000000000","203","41","124.5000000000000000","0","0","0.00000000000000000000"
"1F5z7Bt2hVdw6ySNH5sLh9DuZDnEgTUqjw","1","2286565","2286565","2286565","2286565.000000000000","129","129","129.0000000000000000","0","0","0.00000000000000000000"
